title,sys_update,description
Scat Airlines Adds Sanya / Singapore Service in 4Q26,2026-09-08 16:49:56,"Published at 1900PDT 07SEP26 / 0200GMT 08SEP26Kazakhstan’s Scat Airlines in Northern winter 2026/27 season plans to launch regular scheduled service to Sanya and Singapore, with 2 weekly flights scheduled flights from 20OCT26, on board Boeing 737 MAX 8 aircraft. Operational routing will be Shymkent – Sanya – Singapore.Schedule below focuses on 29OCT26 – 31DEC26.DV777 CIT0640 – 1540SYX1830 – 2130SIN 7M8 4DV777 CIT1130 – 2030SYX2330 – 0230+1SIN 7M8 6DV778 SIN0400 – 0700SYX1000+1 – 1400+1CIT 7M8 7DV778 SIN2300 – 0200+1SYX0500+1 – 0900+1CIT 7M8 4Separately, the carrier’s 2 weekly Prague – Bishkek – Sanya 737 MAX 9 service has seen routing changes since 06SEP26, now operating as Prague – Samarkand – Sanya route."
flynas Adds Jeddah – Aleppo From Sep 2026,2026-09-08 16:49:56,"Published at 1800PDT 07SEP26 / 0100GMT 08SEP26Saudi low-cost carrier flynas last week launched additional route to Syria, which saw the inaugural of Jeddah – Aleppo route on 02SEP26. Airbus A320neo aircraft operates this route twice weekly.XY559 JED1340 – 1610ALP 32N 37XY560 ALP1720 – 2000JED 32N 37"
flynas adds Madinah – Prishtina Service in NW26,2026-09-08 16:49:56,"Published at 1701PDT 07SEP26 / 0001GMT 08SEP26Saudi low-cost carrier flynas at the launch of Northern winter 2026/27 season plans to launch its second scheduled European route from Madinah, with the scheduling of Madinah – Prishtina route. Airbus A320neo aircraft to serve this route on weekly basis from 26OCT26.XY801 MED0455 – 0725PRN 32N 1XY802 PRN0815 – 1400MED 32N 1"
Air India Transfers Chennai – Singapore to Air India Express in NW26,2026-09-08 16:49:56,"Published at 1600PDT / 2300GMT 07SEP26Air India at the launch of Northern winter 2026/27 season is transferring Chennai – Singapore service to Air India Express, which marks the end of Air India’s mainline international operation at Chennai.From 25OCT26, Air India Express 737 MAX 8 aircraft operates this route twice daily.IX628 MAA0205 – 0855SIN 7M8 DIX630 MAA1310 – 2000SIN 7M8 DIX627 SIN0955 – 1135MAA 7M8 DIX629 SIN2100 – 2240MAA 7M8 DAir India Express last served this route until July 2025."
IndiGo NW26 Mumbai – Denpasar Aircraft Changes – 06SEP26,2026-09-08 16:49:56,"Published at 1500PDT / 2200GMT 07SEP26&nbsp;IndiGo in recent schedule update reversed its plan to delay Mumbai – Denpasar Airbus A321XLR operations. Previously filed in early-August 2026, the A321XLR service that would replace A320neo via Chennai (technical stop) moved from 01JAN27 to 28MAR27, however it has since moved back to 01JAN27.6E1607 BOM0745 – 1750DPS 32Q D6E1608 DPS1850 – 2345BOM 32Q D"
IndiGo Adds A321XLR Delhi – Hong Kong Service in Oct 2026,2026-09-08 16:49:56,"Published at 1400PDT / 2100GMT 07SEP26IndiGo from October 2026 schedules aircraft changes on Delhi – Hong Kong route, when it resumes service on 01OCT26, after 3-month hiatus. Upon service resumption on 01OCT26, this route will be served by Airbus A321XLR, switching to 220-seater A321neo from 25OCT26. The A321 variant, featuring IndiGo Stretch, replaces A320neo aircraft.Schedule below focuses on the period of 01OCT26 – 24OCT26.6E1721 DEL0615 – 1440HKG 32Q D6E1722 HKG1540 – 1910DEL 32Q D"
Air Arabia Revises Sharjah – London Planned Service Increase in NW26,2026-09-08 16:49:56,"Published at 1300PDT / 2000GMT 07SEP26Air Arabia in recent schedule update revised planned service increase on Sharjah – London Gatwick route. The 3rd daily flight is now scheduled to operate during holidays season from 15DEC26 to 23DEC26, as well as 02JAN27 – 10JAN27.It previously planned to operate 3rd daily flight for entire season from 25OCT26. Airbus A321LR operates this route.G9265 SHJ0315 – 0720LGW 321 6G9265 SHJ0340 – 0745LGW 321 x6G9267 SHJ0730 – 1135LGW 321 14G9267 SHJ0740 – 1145LGW 321 x146G9267 SHJ0835 – 1240LGW 321 6G9258 SHJ1130 – 1535LGW 321 DG9266 LGW0845 – 1955SHJ 321 DG9268 LGW1235 – 2345SHJ 321 4G9268 LGW1245 – 2355SHJ 321 x46G9268 LGW1345 – 0055+1SHJ 321 6G9259 LGW1640 – 0350+1SHJ 321 D"
Vueling Moves 737 MAX 8 Service Entry to Jan 2027,2026-09-08 16:49:56,"Published at 1200PDT / 1900GMT 07SEP26Vueling in recent schedule update revised planned Boeing 737 MAX 8-200 service entry. Initially scheduled from 18DEC26, service entry is now scheduled on 06JAN27.For the remainder of winter season, planned 737 MAX 8-200 network as follows.Barcelona – Alicante First flight 06JAN27Barcelona – Fuerteventura First flight 17JAN27Barcelona – Ibiza First flight 08JAN27Barcelona – Malaga First flight 13JAN27Barcelona – Palma de Mallorca First flight 06JAN27Barcelona – Paris Charles de Gaulle First flight 18JAN27Barcelona – Paris Orly First flight 14JAN27Barcelona – Rome Fiumicino First flight 06JAN27Barcelona – Seville First flight 06JAN27"
Etihad Expands NS27 Palma de Mallorca Service,2026-09-08 16:49:56,"Published at 1100PDT / 1800GMT 07SEP26Etihad in recent schedule update plans to expand seasonal service on Abu Dhabi – Palma de Mallorca route in 2027, as seasonal service now scheduled from 16MAY27, instead of 15JUN27.The 4 weekly 160-seater A321LR service is scheduled until 12SEP27.EY115 AUH0245 – 0805PMI 32Q x136EY116 PMI1015 – 1845AUH 32Q x136"
Etihad Revises 194-seater A321LR Service Entry in 2027,2026-09-08 16:49:56,"Published at 1000PDT / 1700GMT 07SEP26Etihad Airways in last week’s schedule update filed first revision to its planned 3-class 194-seater Airbus A321LR operations, with configuration of F2J6Y186.Service entry is now scheduled on 01JAN27 instead of 01FEB27, as of 06SEP26, however initial destinations are now scheduled for Bangalore and Delhi, 1 daily each. The airline also filed additional flights to be operated by the 194-seater aircraft during Northern summer 2027 season, mainly serving India.Abu Dhabi – Bangalore eff 01JAN27 EY232/233Abu Dhabi – Delhi eff 01JAN27 EY214/215 (Previous: eff 01FEB27)eff 01OCT27 EY212/213 (Previous: eff 01FEB27)Abu Dhabi – Hyderabad eff 02APR27 EY352/353 Day x24-Day x35Abu Dhabi – Kolkata eff 01APR27 EY220/221 Day 4-5Abu Dhabi – Mumbaieff 01APR27 EY202/203 (Previous: eff 01FEB27)eff 01OCT27 EY200/201 (Previous: eff 01FEB27)"
Air Seoul 4Q26 Seoul – Guam Frequency Changes,2026-09-08 16:49:56,"Published at 0900PDT / 1600GMT 07SEP26Air Seoul in the first half of Northern winter 2026/27 season schedules frequency variations on Seoul Incheon – Guam route, which now sees the airline operates 10 weekly flights for the period of 27OCT26 – 25DEC26, instead of 7 weekly.Airbus A321 aircraft operates this route.RS913 ICN1925 – 0100+1GUM 321 DRS905 ICN2055 – 0230+1GUM 321 125Jin Air between 26OCT26 – 31DEC26 schedules 2 daily flights on this route with 737-800 aircraft."
Malaysia Airlines Files One-Way Penang – Jeddah Schedule in NS27,2026-09-08 16:49:56,"Published at 0800PDT / 1500GMT 07SEP26&nbsp;Malaysia Airlines in Northern summer 2027 season plans to operate Penang – Jeddah service, as the carrier filed one-way schedule from 28JUN27, with Airbus A330-300 aircraft. Screenshot below is taken as of 0800GMT 07SEP26 from the airline’s website.MH508 PEN1330 – 1710JED 333 1"
Malaysia Airlines Expands China Airlines Codeshare From Sep 2026,2026-09-08 16:49:56,"Published at 0700PDT / 1400GMT 07SEP26Malaysia Airlines in September and October 2026 plans to expand codeshare partnership with China Airlines, covering the latter’s additional destinations in Northeast Asia. Codeshare service to Japan went into effect since 03SEP26 (approximate), while Korea is scheduled to commence on 25OCT26.Malaysia Airlines operated by China AirlinesTaipei Taoyuan – Busan Taipei Taoyuan – FukuokaTaipei Taoyuan – Nagoya"
Somon Air mid-Sep 2026 One-Time Seoul Service,2026-09-08 16:49:56,"Published at 0600PDT / 1300GMT 07SEP26Tajikistan’s Somon Air in mid-September 2026 schedules one-time charter flight to Korea, with 737 MAX 8 operating nonstop Dushanbe – Seoul Incheon route. Planned operation as follows.SZ8133 DYU0930 – 2000ICN 7M8 15SEP26SZ8134 ICN2000 – 0130+1DYU 7M8 17SEP26"
